,,総数,,,,,,,,,0歳,,,,,,,,,1歳,,,,,,,,,2歳,,,,,,,,,3歳,,,,,,,,,4歳,,,,,,,,,0～4歳,,,,,,,,,5～9歳,,,,,,,,,10～14歳,,,,,,,,,15～19歳,,,,,,,,,20～24歳,,,,,,,,,25～29歳,,,,,,,,,30～34歳,,,,,,,,,35～39歳,,,,,,,,,40～44歳,,,,,,,,,45～49歳,,,,,,,,,50～54歳,,,,,,,,,55～59歳,,,,,,,,,60～64歳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,女　Ｆ．,57517,37466,973,4089,1243,-,8025,6291,673,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,7,5,-,-,-,-,-,1,1,6,3,1,-,-,-,-,2,-,15,10,-,-,-,-,-,5,-,25,13,-,-,-,-,-,12,-,47,29,1,-,-,-,1,14,2,71,46,-,-,-,-,1,24,-,140,78,3,3,2,-,3,49,4,217,134,2,-,-,-,3,75,3,256,155,2,1,-,-,2,90,6
09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,7304,4669,28,93,22,-,169,2214,131,4,4,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,1,16,14,-,-,-,-,-,1,1,7,7,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,4,-,-,-,-,-,-,1,8,5,-,-,-,-,-,1,2,11,9,-,-,-,-,-,2,-,28,19,-,-,-,-,-,9,-,42,24,2,-,-,-,-,16,-,68,44,-,-,-,-,-,21,3,112,70,-,-,-,-,-,37,5,157,91,-,-,-,-,1,61,4,216,122,-,-,-,-,-,87,7,314,181,1,-,-,-,-,119,13
,男　Ｍ．,4096,2508,12,38,9,-,61,1380,97,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,1,4,3,-,-,-,-,-,1,-,6,5,-,-,-,-,-,1,-,16,11,-,-,-,-,-,5,-,28,15,1,-,-,-,-,12,-,49,30,-,-,-,-,-,16,3,78,44,-,-,-,-,-,29,5,108,56,-,-,-,-,-,48,4,158,84,-,-,-,-,-,67,7,247,139,-,-,-,-,-,97,11
,女　Ｆ．,3208,2161,16,55,13,-,108,834,34,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,9,7,-,-,-,-,-,1,1,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,2,5,4,-,-,-,-,-,1,-,12,8,-,-,-,-,-,4,-,14,9,1,-,-,-,-,4,-,19,14,-,-,-,-,-,5,-,34,26,-,-,-,-,-,8,-,49,35,-,-,-,-,1,13,-,58,38,-,-,-,-,-,20,-,67,42,1,-,-,-,-,22,2
09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,102821,70126,1266,6828,3067,-,10704,12973,924,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,16,15,-,-,-,-,-,1,-,15,10,-,-,-,-,-,5,-,45,35,-,-,-,-,-,10,-,92,63,1,-,-,-,1,25,2,258,192,-,-,-,-,-,61,5,590,428,-,-,-,-,2,144,16,1085,781,4,-,-,-,4,267,29,1852,1317,6,12,9,-,15,459,43,2207,1519,14,10,4,-,39,578,47,2745,1834,29,42,22,-,93,688,59
,男　Ｍ．,51176,35694,630,2843,1362,-,4005,7489,515,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,8,7,-,-,-,-,-,1,-,10,7,-,-,-,-,-,3,-,21,15,-,-,-,-,-,6,-,69,47,-,-,-,-,-,20,2,177,123,-,-,-,-,-,50,4,430,301,-,-,-,-,2,115,12,747,506,4,-,-,-,4,208,25,1262,847,4,9,6,-,12,352,38,1569,1045,8,8,3,-,30,437,41,2012,1298,23,34,18,-,72,535,50
,女　Ｆ．,51645,34432,636,3985,1705,-,6699,5484,409,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,8,8,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,24,20,-,-,-,-,-,4,-,23,16,1,-,-,-,1,5,-,81,69,-,-,-,-,-,11,1,160,127,-,-,-,-,-,29,4,338,275,-,-,-,-,-,59,4,590,470,2,3,3,-,3,107,5,638,474,6,2,1,-,9,141,6,733,536,6,8,4,-,21,153,9
09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,11070,8237,63,253,130,-,382,2017,118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,8,5,-,-,-,-,-,3,-,19,15,-,-,-,-,-,4,-,36,27,-,-,-,-,-,8,1,103,76,-,-,-,-,-,24,3,237,177,-,-,-,-,-,55,5,415,317,2,-,-,-,-,87,9,674,516,1,3,3,-,1,142,11,618,456,4,-,-,-,3,142,13,641,459,1,4,3,-,7,155,15
,男　Ｍ．,4129,2771,18,54,30,-,101,1105,80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,5,3,-,-,-,-,-,2,-,8,5,-,-,-,-,-,3,-,28,22,-,-,-,-,-,5,1,65,43,-,-,-,-,-,20,2,145,100,-,-,-,-,-,41,4,236,167,2,-,-,-,-,59,8,347,243,-,2,2,-,-,93,9,361,257,1,-,-,-,2,90,11,390,257,1,3,2,-,5,110,14
,女　Ｆ．,6941,5466,45,199,100,-,281,912,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,11,10,-,-,-,-,-,1,-,8,5,-,-,-,-,-,3,-,38,33,-,-,-,-,-,4,1,92,77,-,-,-,-,-,14,1,179,150,-,-,-,-,-,28,1,327,273,1,1,1,-,1,49,2,257,199,3,-,-,-,1,52,2,251,202,-,1,1,-,2,45,1
09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,32566,22212,276,1506,733,-,2134,6091,347,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,10,9,-,-,-,-,-,1,-,6,4,-,-,-,-,-,2,-,20,14,-,-,-,-,-,6,-,48,31,1,-,-,-,-,15,1,132,94,-,-,-,-,-,36,2,302,208,-,-,-,-,1,82,11,578,389,2,-,-,-,3,164,20,948,630,3,4,2,-,7,274,30,1217,783,6,5,1,-,20,372,31,1451,937,15,20,10,-,35,412,32
,男　Ｍ．,17981,12380,145,647,342,-,842,3727,240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,11,8,-,-,-,-,-,3,-,37,22,-,-,-,-,-,14,1,99,68,-,-,-,-,-,29,2,247,169,-,-,-,-,1,69,8,438,280,2,-,-,-,3,136,17,736,472,2,4,2,-,6,224,28,926,580,3,4,1,-,16,296,27,1097,696,11,15,7,-,24,326,25
,女　Ｆ．,14585,9832,131,859,391,-,1292,2364,107,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,9,6,-,-,-,-,-,3,-,11,9,1,-,-,-,-,1,-,33,26,-,-,-,-,-,7,-,55,39,-,-,-,-,-,13,3,140,109,-,-,-,-,-,28,3,212,158,1,-,-,-,1,50,2,291,203,3,1,-,-,4,76,4,354,241,4,5,3,-,11,86,7
09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,56129,38495,877,4877,2157,-,7770,3696,414,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,5,3,-,-,-,-,1,1,-,13,13,-,-,-,-,-,-,-,34,32,-,-,-,-,1,1,-,57,51,-,-,-,-,1,5,-,190,152,2,5,4,-,7,23,1,311,248,4,5,3,-,16,35,3,552,408,13,17,8,-,47,57,10
,男　Ｍ．,27541,19939,443,2075,965,-,2923,1990,171,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,25,23,-,-,-,-,1,1,-,48,43,-,-,-,-,1,4,-,153,125,2,3,2,-,6,17,-,243,191,4,4,2,-,12,29,3,453,327,11,15,8,-,41,50,9
,女　Ｆ．,28588,18556,434,2802,1192,-,4847,1706,243,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,1,-,-,-,-,1,1,-,4,4,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,9,8,-,-,-,-,-,1,-,37,27,-,2,2,-,1,6,1,68,57,-,1,1,-,4,6,-,99,81,2,2,-,-,6,7,1
09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,3056,1182,50,192,47,-,418,1169,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,10,9,-,-,-,-,-,1,-,17,11,-,-,-,-,-,6,-,35,24,-,-,-,-,-,11,-,40,19,-,-,-,-,-,20,1,61,32,-,-,-,-,-,29,-,101,30,-,1,1,-,4,64,2
,男　Ｍ．,1525,604,24,67,25,-,139,667,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,13,9,-,-,-,-,-,4,-,25,16,-,-,-,-,-,9,-,26,7,-,-,-,-,-,18,1,39,17,-,-,-,-,-,22,-,72,18,-,1,1,-,2,49,2
,女　Ｆ．,1531,578,26,125,22,-,279,502,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,10,8,-,-,-,-,-,2,-,14,12,-,-,-,-,-,2,-,22,15,-,-,-,-,-,7,-,29,12,-,-,-,-,2,15,-
09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,20427,17480,94,171,59,-,392,2083,207,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,1,5,3,-,-,-,-,-,1,1,12,10,-,-,-,-,-,2,-,36,28,-,-,-,-,-,7,1,82,62,1,-,-,-,-,14,5,184,141,1,-,-,-,-,38,4,433,352,1,-,-,-,-,70,10,583,471,-,-,-,-,-,91,21,728,598,2,-,-,-,-,112,16
,男　Ｍ．,10143,8572,58,72,19,-,142,1158,141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,4,3,-,-,-,-,-,-,1,3,1,-,-,-,-,-,1,1,11,10,-,-,-,-,-,1,-,31,23,-,-,-,-,-,7,1,69,53,1,-,-,-,-,11,4,159,120,1,-,-,-,-,34,4,374,304,1,-,-,-,-,59,10,469,378,-,-,-,-,-,73,18,542,442,2,-,-,-,-,84,14
,女　Ｆ．,10284,8908,36,99,40,-,250,925,66,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,5,5,-,-,-,-,-,-,-,13,9,-,-,-,-,-,3,1,25,21,-,-,-,-,-,4,-,59,48,-,-,-,-,-,11,-,114,93,-,-,-,-,-,18,3,186,156,-,-,-,-,-,28,2
09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,9545,6825,90,208,68,-,597,1708,117,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,13,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,7,4,-,-,-,-,-,2,1,12,7,-,-,-,-,-,4,1,30,23,-,-,-,-,-,7,-,40,23,-,-,-,-,-,13,4,61,36,-,-,-,-,-,23,2,149,85,-,-,-,-,-,58,6,226,124,-,-,-,-,-,93,9,247,144,4,-,-,-,-,91,8,301,185,-,-,-,-,3,107,6
,男　Ｍ．,4479,3138,41,42,13,-,160,1031,67,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,5,1,-,-,-,-,-,4,-,12,10,-,-,-,-,-,2,-,24,16,-,-,-,-,-,7,1,39,22,-,-,-,-,-,16,1,92,44,-,-,-,-,-,43,5,150,85,-,-,-,-,-,57,8,192,109,3,-,-,-,-,72,8,222,133,-,-,-,-,1,82,6
,女　Ｆ．,5066,3687,49,166,55,-,437,677,50,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,5,3,-,-,-,-,-,2,-,7,6,-,-,-,-,-,-,1,18,13,-,-,-,-,-,5,-,16,7,-,-,-,-,-,6,3,22,14,-,-,-,-,-,7,1,57,41,-,-,-,-,-,15,1,76,39,-,-,-,-,-,36,1,55,35,1,-,-,-,-,19,-,79,52,-,-,-,-,2,25,-
10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,204985,168680,3028,6523,2831,-,13415,12188,1151,24,20,-,-,-,-,-,4,-,21,16,-,-,-,-,-,4,1,18,14,-,-,-,-,-,4,-,12,12,-,-,-,-,-,-,-,7,4,-,-,-,-,-,3,-,82,66,-,-,-,-,-,15,1,38,32,-,-,-,-,-,6,-,24,23,-,-,-,-,-,1,-,27,23,-,-,-,-,-,4,-,32,22,-,-,-,-,-,9,1,44,28,-,-,-,-,1,14,1,61,44,-,-,-,-,-,15,2,110,86,2,-,-,-,-,21,1,151,111,-,-,-,-,1,34,5,331,247,2,1,1,-,3,67,11,686,557,2,2,-,-,5,107,13,1145,925,4,5,3,-,23,172,16,2262,1909,19,13,3,-,49,256,16
,男　Ｍ．,125800,105878,1758,3322,1430,-,6405,7818,619,11,10,-,-,-,-,-,1,-,11,9,-,-,-,-,-,2,-,7,5,-,-,-,-,-,2,-,8,8,-,-,-,-,-,-,-,3,1,-,-,-,-,-,2,-,40,33,-,-,-,-,-,7,-,19,15,-,-,-,-,-,4,-,13,13,-,-,-,-,-,-,-,15,12,-,-,-,-,-,3,-,23,14,-,-,-,-,-,8,1,28,16,-,-,-,-,1,10,1,37,25,-,-,-,-,-,10,2,67,50,1,-,-,-,-,16,-,100,74,-,-,-,-,1,22,3,233,175,2,1,1,-,3,44,8,483,393,2,2,-,-,5,72,9,878,703,4,4,2,-,19,133,15,1729,1459,13,9,1,-,45,191,12
,女　Ｆ．,79185,62802,1270,3201,1401,-,7010,4370,532,13,10,-,-,-,-,-,3,-,10,7,-,-,-,-,-,2,1,11,9,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,42,33,-,-,-,-,-,8,1,19,17,-,-,-,-,-,2,-,11,10,-,-,-,-,-,1,-,12,11,-,-,-,-,-,1,-,9,8,-,-,-,-,-,1,-,16,12,-,-,-,-,-,4,-,24,19,-,-,-,-,-,5,-,43,36,1,-,-,-,-,5,1,51,37,-,-,-,-,-,12,2,98,72,-,-,-,-,-,23,3,203,164,-,-,-,-,-,35,4,267,222,-,1,1,-,4,39,1,533,450,6,4,2,-,4,65,4
10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2857,2210,30,99,36,-,268,234,16,4,3,-,-,-,-,-,1,-,7,5,-,-,-,-,-,2,-,7,5,-,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,4,2,-,-,-,-,-,2,-,26,19,-,-,-,-,-,7,-,21,20,-,-,-,-,-,1,-,13,13,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,3,2,-,-,-,-,-,1,-,9,6,-,-,-,-,1,2,-,3,3,-,-,-,-,-,-,-,16,10,-,-,-,-,-,6,-,15,8,-,-,-,-,-,7,-,28,16,-,-,-,-,-,10,2,56,42,-,-,-,-,-,13,1,57,47,-,-,-,-,-,10,-,68,54,-,-,-,-,-,14,-
,男　Ｍ．,1486,1194,18,30,6,-,95,141,8,-,-,-,-,-,-,-,-,-,4,3,-,-,-,-,-,1,-,3,2,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,12,9,-,-,-,-,-,3,-,11,10,-,-,-,-,-,1,-,8,8,-,-,-,-,-,-,-,3,2,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,7,4,-,-,-,-,1,2,-,1,1,-,-,-,-,-,-,-,8,4,-,-,-,-,-,4,-,9,4,-,-,-,-,-,5,-,17,8,-,-,-,-,-,7,2,39,34,-,-,-,-,-,5,-,41,36,-,-,-,-,-,5,-,45,36,-,-,-,-,-,9,-
,女　Ｆ．,1371,1016,12,69,30,-,173,93,8,4,3,-,-,-,-,-,1,-,3,2,-,-,-,-,-,1,-,4,3,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,1,-,-,-,-,-,1,-,14,10,-,-,-,-,-,4,-,10,10,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,8,6,-,-,-,-,-,2,-,6,4,-,-,-,-,-,2,-,11,8,-,-,-,-,-,3,-,17,8,-,-,-,-,-,8,1,16,11,-,-,-,-,-,5,-,23,18,-,-,-,-,-,5,-
10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,80176,67684,1514,2638,1227,-,4715,3206,419,2,2,-,-,-,-,-,-,-,7,6,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,7,7,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,22,20,-,-,-,-,-,2,-,8,7,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,11,9,-,-,-,-,-,2,-,12,9,-,-,-,-,-,3,-,14,7,-,-,-,-,-,6,1,29,19,-,-,-,-,-,9,1,41,35,-,-,-,-,-,6,-,62,46,-,-,-,-,1,12,3,137,99,2,1,1,-,-,33,2,288,242,2,2,-,-,1,39,2,480,393,2,3,3,-,10,67,5,874,766,8,3,2,-,16,77,4
,男　Ｍ．,46529,40115,834,1300,611,-,2166,1898,216,1,1,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,-,-,-,-,2,-,10,7,-,-,-,-,-,3,-,11,4,-,-,-,-,-,6,1,19,13,-,-,-,-,-,5,1,27,23,-,-,-,-,-,4,-,44,31,-,-,-,-,1,9,3,94,69,2,1,1,-,-,20,2,199,162,2,2,-,-,1,30,2,363,295,2,2,2,-,8,51,5,667,582,6,1,-,-,14,60,4
,女　Ｆ．,33647,27569,680,1338,616,-,2549,1308,203,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,11,10,-,-,-,-,-,1,-,5,4,-,-,-,-,-,1,-,4,4,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,3,3,-,-,-,-,-,-,-,10,6,-,-,-,-,-,4,-,14,12,-,-,-,-,-,2,-,18,15,-,-,-,-,-,3,-,43,30,-,-,-,-,-,13,-,89,80,-,-,-,-,-,9,-,117,98,-,1,1,-,2,16,-,207,184,2,2,2,-,2,17,-
