令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,総数,112,103,1,-,-,-,-,8,-,219,206,2,3,3,-,1,7,-,330,304,3,3,2,-,6,13,1,419,362,7,8,1,-,14,27,1,463,395,9,12,5,-,22,24,1,350,283,6,13,3,-,28,19,1,151,100,3,10,4,-,20,18,-,25,20,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,61,58,-,-,-,-,-,3,-,126,121,-,3,3,-,-,2,-,178,163,1,1,-,-,5,7,1,212,187,4,3,1,-,4,14,-,200,177,4,1,-,-,6,12,-,138,118,-,3,1,-,7,10,-,49,37,1,-,-,-,5,6,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,51,45,1,-,-,-,-,5,-,93,85,2,-,-,-,1,5,-,152,141,2,2,2,-,1,6,-,207,175,3,5,-,-,10,13,1,263,218,5,11,5,-,16,12,1,212,165,6,10,2,-,21,9,1,102,63,2,10,4,-,15,12,-,21,16,1,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-
04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,1322,785,30,16,5,-,48,428,15,2398,1521,36,46,17,-,100,663,32,3438,2353,68,88,27,-,171,722,36,4394,3004,81,187,59,-,342,743,37,5069,3462,114,278,57,-,488,678,49,4144,2584,77,354,92,-,645,442,42,1820,1049,48,152,30,-,355,194,22,343,154,8,39,7,-,95,43,4,11,3,-,-,-,-,-,-,8
,男　Ｍ．,1000,575,22,10,4,-,37,342,14,1687,1025,26,32,10,-,71,508,25,2206,1485,47,51,15,-,100,499,24,2502,1716,47,95,26,-,156,466,22,2517,1751,60,109,24,-,184,388,25,1485,977,27,118,28,-,161,190,12,398,249,11,22,4,-,59,54,3,45,22,1,2,-,-,12,7,1,9,2,-,-,-,-,-,-,7
,女　Ｆ．,322,210,8,6,1,-,11,86,1,711,496,10,14,7,-,29,155,7,1232,868,21,37,12,-,71,223,12,1892,1288,34,92,33,-,186,277,15,2552,1711,54,169,33,-,304,290,24,2659,1607,50,236,64,-,484,252,30,1422,800,37,130,26,-,296,140,19,298,132,7,37,7,-,83,36,3,2,1,-,-,-,-,-,-,1
04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,865,480,27,13,3,-,36,298,11,1551,931,33,35,15,-,76,459,17,2204,1462,56,68,20,-,122,470,26,2669,1691,63,140,45,-,236,518,21,2907,1813,86,186,38,-,333,449,40,2144,1141,47,240,62,-,423,266,27,841,393,29,92,18,-,203,111,13,143,46,3,16,2,-,57,20,1,4,1,-,-,-,-,-,-,3
,男　Ｍ．,682,370,20,8,2,-,29,245,10,1134,640,24,24,10,-,57,375,14,1461,939,39,38,11,-,73,352,20,1560,990,36,72,21,-,111,339,12,1468,933,50,68,12,-,127,272,18,792,449,19,85,20,-,110,120,9,206,107,7,12,3,-,39,39,2,20,4,1,1,-,-,6,7,1,4,1,-,-,-,-,-,-,3
,女　Ｆ．,183,110,7,5,1,-,7,53,1,417,291,9,11,5,-,19,84,3,743,523,17,30,9,-,49,118,6,1109,701,27,68,24,-,125,179,9,1439,880,36,118,26,-,206,177,22,1352,692,28,155,42,-,313,146,18,635,286,22,80,15,-,164,72,11,123,42,2,15,2,-,51,13,-,-,-,-,-,-,-,-,-,-
04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,総数,457,305,3,3,2,-,12,130,4,847,590,3,11,2,-,24,204,15,1234,891,12,20,7,-,49,252,10,1725,1313,18,47,14,-,106,225,16,2162,1649,28,92,19,-,155,229,9,2000,1443,30,114,30,-,222,176,15,979,656,19,60,12,-,152,83,9,200,108,5,23,5,-,38,23,3,7,2,-,-,-,-,-,-,5
,男　Ｍ．,318,205,2,2,2,-,8,97,4,553,385,2,8,-,-,14,133,11,745,546,8,13,4,-,27,147,4,942,726,11,23,5,-,45,127,10,1049,818,10,41,12,-,57,116,7,693,528,8,33,8,-,51,70,3,192,142,4,10,1,-,20,15,1,25,18,-,1,-,-,6,-,-,5,1,-,-,-,-,-,-,4
,女　Ｆ．,139,100,1,1,-,-,4,33,-,294,205,1,3,2,-,10,71,4,489,345,4,7,3,-,22,105,6,783,587,7,24,9,-,61,98,6,1113,831,18,51,7,-,98,113,2,1307,915,22,81,22,-,171,106,12,787,514,15,50,11,-,132,68,8,175,90,5,22,5,-,32,23,3,2,1,-,-,-,-,-,-,1
05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,459,304,2,17,6,-,52,84,-,1165,814,10,54,17,-,162,117,8,2189,1410,23,151,46,-,365,214,26,4201,2581,56,400,128,-,760,340,64,6504,3506,88,727,202,-,1566,525,92,7087,3069,95,966,241,-,2152,649,156,4427,1451,69,701,158,-,1617,470,119,1098,243,9,205,27,-,484,123,34,-,-,-,-,-,-,-,-,-
,男　Ｍ．,312,210,1,8,3,-,35,58,-,772,574,8,25,5,-,81,78,6,1325,948,12,73,18,-,172,109,11,2142,1462,21,179,68,-,285,167,28,2806,1772,40,303,107,-,462,200,29,2147,1211,34,261,73,-,440,171,30,815,370,11,124,35,-,218,72,20,108,36,2,20,3,-,35,12,3,-,-,-,-,-,-,-,-,-
,女　Ｆ．,147,94,1,9,3,-,17,26,-,393,240,2,29,12,-,81,39,2,864,462,11,78,28,-,193,105,15,2059,1119,35,221,60,-,475,173,36,3698,1734,48,424,95,-,1104,325,63,4940,1858,61,705,168,-,1712,478,126,3612,1081,58,577,123,-,1399,398,99,990,207,7,185,24,-,449,111,31,-,-,-,-,-,-,-,-,-
05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,総数,164,119,1,8,2,-,28,8,-,630,445,8,40,11,-,92,43,2,1686,1066,20,125,35,-,308,147,20,3701,2236,46,370,120,-,691,300,58,6123,3267,84,699,192,-,1485,497,91,6850,2932,93,951,239,-,2082,637,155,4350,1414,69,693,158,-,1592,463,119,1079,231,8,203,27,-,480,123,34,-,-,-,-,-,-,-,-,-
,男　Ｍ．,120,89,-,6,1,-,19,6,-,452,344,7,20,3,-,51,29,1,1042,738,11,63,15,-,151,72,7,1922,1302,19,166,64,-,264,144,27,2674,1674,40,293,101,-,445,193,29,2089,1168,32,254,73,-,435,170,30,798,359,11,120,35,-,217,71,20,107,35,2,20,3,-,35,12,3,-,-,-,-,-,-,-,-,-
,女　Ｆ．,44,30,1,2,1,-,9,2,-,178,101,1,20,8,-,41,14,1,644,328,9,62,20,-,157,75,13,1779,934,27,204,56,-,427,156,31,3449,1593,44,406,91,-,1040,304,62,4761,1764,61,697,166,-,1647,467,125,3552,1055,58,573,123,-,1375,392,99,972,196,6,183,24,-,445,111,31,-,-,-,-,-,-,-,-,-
05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,総数,295,185,1,9,4,-,24,76,-,535,369,2,14,6,-,70,74,6,503,344,3,26,11,-,57,67,6,500,345,10,30,8,-,69,40,6,381,239,4,28,10,-,81,28,1,237,137,2,15,2,-,70,12,1,77,37,-,8,-,-,25,7,-,19,12,1,2,-,-,4,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,192,121,1,2,2,-,16,52,-,320,230,1,5,2,-,30,49,5,283,210,1,10,3,-,21,37,4,220,160,2,13,4,-,21,23,1,132,98,-,10,6,-,17,7,-,58,43,2,7,-,-,5,1,-,17,11,-,4,-,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,103,64,-,7,2,-,8,24,-,215,139,1,9,4,-,40,25,1,220,134,2,16,8,-,36,30,2,280,185,8,17,4,-,48,17,5,249,141,4,18,4,-,64,21,1,179,94,-,8,2,-,65,11,1,60,26,-,4,-,-,24,6,-,18,11,1,2,-,-,4,-,-,-,-,-,-,-,-,-,-,-
06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,2063,1491,14,46,14,-,234,255,23,4808,3374,45,156,60,-,659,524,50,8575,5826,75,400,151,-,1288,898,88,12668,8133,142,701,253,-,2330,1217,145,14162,8188,161,1038,328,-,3215,1337,223,11282,5384,131,1079,318,-,3305,1137,246,4963,1855,60,581,176,-,1775,552,140,972,264,12,110,18,-,444,105,37,6,5,-,-,-,-,-,-,1
,男　Ｍ．,1302,953,10,26,7,-,146,153,14,2957,2175,32,79,25,-,357,285,29,5067,3675,45,207,87,-,611,487,42,6738,4776,69,319,117,-,886,633,55,6325,4241,60,406,124,-,1016,532,70,3515,2153,42,284,101,-,692,301,43,917,490,9,74,24,-,224,95,25,70,35,-,5,2,-,20,9,1,6,5,-,-,-,-,-,-,1
,女　Ｆ．,761,538,4,20,7,-,88,102,9,1851,1199,13,77,35,-,302,239,21,3508,2151,30,193,64,-,677,411,46,5930,3357,73,382,136,-,1444,584,90,7837,3947,101,632,204,-,2199,805,153,7767,3231,89,795,217,-,2613,836,203,4046,1365,51,507,152,-,1551,457,115,902,229,12,105,16,-,424,96,36,-,-,-,-,-,-,-,-,-
06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,25,23,-,-,-,-,-,2,-,36,36,-,-,-,-,-,-,-,57,56,-,-,-,-,-,1,-,66,63,1,1,-,-,-,-,1,63,56,-,1,1,-,2,4,-,30,27,-,2,-,-,1,-,-,11,10,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,17,15,-,-,-,-,-,2,-,27,27,-,-,-,-,-,-,-,40,40,-,-,-,-,-,-,-,32,30,1,1,-,-,-,-,-,34,31,-,1,1,-,1,1,-,13,12,-,1,-,-,-,-,-,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,8,8,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,17,16,-,-,-,-,-,1,-,34,33,-,-,-,-,-,-,1,29,25,-,-,-,-,1,3,-,17,15,-,1,-,-,1,-,-,8,7,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,総数,291,190,-,1,-,-,32,63,5,586,352,2,4,2,-,77,143,8,682,433,5,8,2,-,77,150,9,518,303,6,2,1,-,102,95,10,248,150,2,1,-,-,45,48,2,51,30,1,2,-,-,6,10,2,9,5,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,192,129,-,1,-,-,22,36,4,356,227,2,2,1,-,43,77,5,409,272,5,4,1,-,35,88,5,267,176,3,1,1,-,41,40,6,134,85,2,1,-,-,17,27,2,20,13,1,1,-,-,1,4,-,4,2,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,99,61,-,-,-,-,10,27,1,230,125,-,2,1,-,34,66,3,273,161,-,4,1,-,42,62,4,251,127,3,1,-,-,61,55,4,114,65,-,-,-,-,28,21,-,31,17,-,1,-,-,5,6,2,5,3,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,330,235,3,6,1,-,47,36,3,1129,811,13,29,8,-,160,105,11,2601,1776,28,96,31,-,430,253,18,4109,2757,41,160,54,-,724,391,36,3774,2270,45,166,39,-,861,400,32,1905,1013,30,100,29,-,495,237,30,377,156,6,36,8,-,123,49,7,39,13,-,2,-,-,15,9,-,1,-,-,-,-,-,-,-,1
,男　Ｍ．,221,158,1,3,-,-,33,24,2,721,530,8,19,4,-,94,64,6,1588,1152,18,54,18,-,219,137,8,2278,1653,20,73,28,-,285,233,14,1859,1227,20,77,15,-,321,200,14,705,436,12,33,7,-,127,88,9,97,52,1,6,4,-,23,12,3,4,3,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,109,77,2,3,1,-,14,12,1,408,281,5,10,4,-,66,41,5,1013,624,10,42,13,-,211,116,10,1831,1104,21,87,26,-,439,158,22,1915,1043,25,89,24,-,540,200,18,1200,577,18,67,22,-,368,149,21,280,104,5,30,4,-,100,37,4,35,10,-,2,-,-,15,8,-,-,-,-,-,-,-,-,-,-
06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,233,156,2,12,4,-,44,18,1,737,464,8,42,18,-,152,60,11,1897,1222,14,155,65,-,330,148,28,4001,2324,52,356,135,-,883,325,61,6617,3439,82,669,215,-,1697,579,151,7236,3058,81,819,235,-,2405,688,185,3931,1335,47,473,137,-,1506,451,119,846,217,10,96,15,-,408,84,31,1,1,-,-,-,-,-,-,-
,男　Ｍ．,140,96,1,7,3,-,25,11,-,444,310,5,16,5,-,77,29,7,1048,737,7,82,41,-,132,79,11,1942,1313,21,162,57,-,284,140,22,2564,1658,27,237,73,-,444,165,33,1987,1164,22,194,74,-,450,132,25,645,319,6,59,15,-,173,66,22,56,25,-,4,2,-,18,8,1,1,1,-,-,-,-,-,-,-
,女　Ｆ．,93,60,1,5,1,-,19,7,1,293,154,3,26,13,-,75,31,4,849,485,7,73,24,-,198,69,17,2059,1011,31,194,78,-,599,185,39,4053,1781,55,432,142,-,1253,414,118,5249,1894,59,625,161,-,1955,556,160,3286,1016,41,414,122,-,1333,385,97,790,192,10,92,13,-,390,76,30,-,-,-,-,-,-,-,-,-
06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1184,887,9,27,9,-,111,136,14,2320,1711,22,81,32,-,270,216,20,3338,2339,28,141,53,-,451,346,33,3974,2686,42,182,63,-,621,406,37,3460,2273,32,201,73,-,610,306,38,2060,1256,19,156,54,-,398,202,29,635,349,7,70,31,-,143,52,14,87,34,2,12,3,-,21,12,6,4,4,-,-,-,-,-,-,-
,男　Ｍ．,732,555,8,15,4,-,66,80,8,1409,1081,17,42,15,-,143,115,11,1982,1474,15,67,27,-,225,183,18,2219,1604,24,82,31,-,276,220,13,1734,1240,11,90,35,-,233,139,21,790,528,7,55,20,-,114,77,9,168,114,2,8,5,-,27,17,-,10,7,-,1,-,-,2,-,-,4,4,-,-,-,-,-,-,-
,女　Ｆ．,452,332,1,12,5,-,45,56,6,911,630,5,39,17,-,127,101,9,1356,865,13,74,26,-,226,163,15,1755,1082,18,100,32,-,345,186,24,1726,1033,21,111,38,-,377,167,17,1270,728,12,101,34,-,284,125,20,467,235,5,62,26,-,116,35,14,77,27,2,11,3,-,19,12,6,-,-,-,-,-,-,-,-,-
07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,5,4,-,-,-,-,-,1,-,2,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4,1,-,1,-,-,1,1,-,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,4,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,1,-,-,1,1,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,1,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,14131,8367,89,145,69,-,315,4935,280,26675,16557,205,480,228,-,934,8026,473,40660,26599,341,1054,438,-,1766,10401,499,59535,40466,625,2162,835,-,3435,12345,502,76866,52438,995,3673,1389,-,6338,12774,648,76169,50595,1124,4781,1633,-,9039,9862,768,40325,24736,668,3186,993,-,6624,4607,504,8517,4461,162,854,227,-,1862,1043,135,53,14,-,-,-,-,2,1,36
,男　Ｍ．,10631,6043,64,106,51,-,250,3930,238,18833,11304,154,344,161,-,658,5993,380,25936,16799,224,680,287,-,1070,6788,375,33254,22866,353,1125,467,-,1655,6947,308,35595,24822,455,1456,564,-,2312,6237,313,26256,18073,355,1374,474,-,2234,3993,227,9264,5938,165,609,171,-,1192,1267,93,1149,652,18,82,17,-,199,180,18,40,10,-,-,-,-,2,1,27
,女　Ｆ．,3500,2324,25,39,18,-,65,1005,42,7842,5253,51,136,67,-,276,2033,93,14724,9800,117,374,151,-,696,3613,124,26281,17600,272,1037,368,-,1780,5398,194,41271,27616,540,2217,825,-,4026,6537,335,49913,32522,769,3407,1159,-,6805,5869,541,31061,18798,503,2577,822,-,5432,3340,411,7368,3809,144,772,210,-,1663,863,117,13,4,-,-,-,-,-,-,9
09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,462,60,1,2,-,-,2,383,14,776,159,1,2,1,-,17,572,25,1155,295,11,11,5,-,32,778,28,1656,468,14,55,12,-,101,988,30,2301,789,41,97,12,-,279,1058,37,2603,900,60,189,38,-,550,854,50,1660,498,41,152,23,-,495,429,45,484,110,10,48,6,-,189,114,13,8,-,-,-,-,-,-,-,8
,男　Ｍ．,360,44,-,1,-,-,2,299,14,577,108,1,2,1,-,13,434,19,699,177,9,5,2,-,15,468,25,850,244,8,24,5,-,45,512,17,971,367,16,32,5,-,60,481,15,770,285,18,36,9,-,104,310,17,336,116,10,23,4,-,80,102,5,58,16,-,3,-,-,19,19,1,7,-,-,-,-,-,-,-,7
,女　Ｆ．,102,16,1,1,-,-,-,84,-,199,51,-,-,-,-,4,138,6,456,118,2,6,3,-,17,310,3,806,224,6,31,7,-,56,476,13,1330,422,25,65,7,-,219,577,22,1833,615,42,153,29,-,446,544,33,1324,382,31,129,19,-,415,327,40,426,94,10,45,6,-,170,95,12,1,-,-,-,-,-,-,-,1
09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,総数,177,32,1,2,-,-,1,135,6,342,99,-,2,1,-,12,218,11,523,166,8,7,4,-,20,308,14,817,288,7,35,9,-,49,430,8,1250,496,20,59,11,-,147,508,20,1439,612,37,101,26,-,261,400,28,910,356,30,78,14,-,221,203,22,244,82,6,30,6,-,77,48,1,2,-,-,-,-,-,-,-,2
,男　Ｍ．,137,21,-,1,-,-,1,108,6,249,66,-,2,1,-,9,165,7,313,101,6,3,1,-,10,181,12,412,147,5,16,3,-,27,212,5,530,225,9,22,5,-,30,236,8,417,189,6,18,7,-,53,140,11,185,81,8,9,2,-,33,53,1,33,12,-,2,-,-,10,9,-,2,-,-,-,-,-,-,-,2
,女　Ｆ．,40,11,1,1,-,-,-,27,-,93,33,-,-,-,-,3,53,4,210,65,2,4,3,-,10,127,2,405,141,2,19,6,-,22,218,3,720,271,11,37,6,-,117,272,12,1022,423,31,83,19,-,208,260,17,725,275,22,69,12,-,188,150,21,211,70,6,28,6,-,67,39,1,-,-,-,-,-,-,-,-,-
09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,285,28,-,-,-,-,1,248,8,434,60,1,-,-,-,5,354,14,632,129,3,4,1,-,12,470,14,839,180,7,20,3,-,52,558,22,1051,293,21,38,1,-,132,550,17,1164,288,23,88,12,-,289,454,22,750,142,11,74,9,-,274,226,23,240,28,4,18,-,-,112,66,12,6,-,-,-,-,-,-,-,6
,男　Ｍ．,223,23,-,-,-,-,1,191,8,328,42,1,-,-,-,4,269,12,386,76,3,2,1,-,5,287,13,438,97,3,8,2,-,18,300,12,441,142,7,10,-,-,30,245,7,353,96,12,18,2,-,51,170,6,151,35,2,14,2,-,47,49,4,25,4,-,1,-,-,9,10,1,5,-,-,-,-,-,-,-,5
,女　Ｆ．,62,5,-,-,-,-,-,57,-,106,18,-,-,-,-,1,85,2,246,53,-,2,-,-,7,183,1,401,83,4,12,1,-,34,258,10,610,151,14,28,1,-,102,305,10,811,192,11,70,10,-,238,284,16,599,107,9,60,7,-,227,177,19,215,24,4,17,-,-,103,56,11,1,-,-,-,-,-,-,-,1
09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,総数,8034,4301,37,40,22,-,124,3336,196,15138,8653,103,148,61,-,346,5573,315,23033,14068,178,376,120,-,711,7347,353,35058,23087,353,924,284,-,1658,8707,329,47262,31875,630,1845,579,-,3487,8976,449,49366,32883,744,2719,804,-,5418,7077,525,27354,17014,478,2023,551,-,4206,3283,350,5848,3174,120,561,135,-,1162,727,104,33,7,-,-,-,-,2,1,23
,男　Ｍ．,6243,3254,28,28,15,-,89,2678,166,10965,6087,74,102,46,-,240,4212,250,15019,9094,118,222,65,-,415,4895,275,19950,13351,184,436,143,-,764,5012,203,22273,15280,276,701,212,-,1266,4517,233,17447,11974,236,792,219,-,1374,2912,159,6502,4171,116,404,89,-,777,957,77,835,502,12,59,10,-,121,129,12,25,6,-,-,-,-,2,1,16
,女　Ｆ．,1791,1047,9,12,7,-,35,658,30,4173,2566,29,46,15,-,106,1361,65,8014,4974,60,154,55,-,296,2452,78,15108,9736,169,488,141,-,894,3695,126,24989,16595,354,1144,367,-,2221,4459,216,31919,20909,508,1927,585,-,4044,4165,366,20852,12843,362,1619,462,-,3429,2326,273,5013,2672,108,502,125,-,1041,598,92,8,1,-,-,-,-,-,-,7
09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,34,30,1,-,-,-,1,2,-,65,56,3,-,-,-,-,6,-,156,127,3,4,-,-,3,17,2,330,276,5,2,1,-,19,25,3,455,358,6,12,6,-,28,47,4,518,376,10,26,12,-,48,51,7,261,186,4,11,6,-,29,28,3,36,19,1,3,-,-,9,2,2,-,-,-,-,-,-,-,-,-
,男　Ｍ．,21,18,1,-,-,-,1,1,-,33,27,2,-,-,-,-,4,-,85,66,2,3,-,-,2,11,1,128,112,2,1,1,-,6,7,-,160,133,3,3,-,-,3,17,1,155,115,3,7,4,-,10,17,3,59,40,1,3,-,-,4,9,2,3,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
,女　Ｆ．,13,12,-,-,-,-,-,1,-,32,29,1,-,-,-,-,2,-,71,61,1,1,-,-,1,6,1,202,164,3,1,-,-,13,18,3,295,225,3,9,6,-,25,30,3,363,261,7,19,8,-,38,34,4,202,146,3,8,6,-,25,19,1,33,17,1,3,-,-,9,2,1,-,-,-,-,-,-,-,-,-
09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,総数,1575,1081,8,3,2,-,8,446,29,2861,2005,20,5,3,-,31,741,59,3964,2858,34,27,3,-,40,935,70,5059,3836,39,64,19,-,83,997,40,5343,3932,65,90,18,-,185,1019,52,4129,3126,59,88,21,-,193,632,31,1714,1288,39,61,19,-,129,186,11,265,196,7,10,1,-,24,25,3,1,-,-,-,-,-,-,-,1
,男　Ｍ．,1288,879,6,3,2,-,4,367,29,2187,1491,16,4,2,-,27,597,52,2708,1960,21,15,2,-,23,636,53,3028,2324,18,34,9,-,41,583,28,2762,2028,31,48,7,-,86,538,31,1657,1248,20,39,9,-,60,281,9,489,336,12,16,4,-,37,86,2,44,36,-,3,-,-,1,4,-,1,-,-,-,-,-,-,-,1
,女　Ｆ．,287,202,2,-,-,-,4,79,-,674,514,4,1,1,-,4,144,7,1256,898,13,12,1,-,17,299,17,2031,1512,21,30,10,-,42,414,12,2581,1904,34,42,11,-,99,481,21,2472,1878,39,49,12,-,133,351,22,1225,952,27,45,15,-,92,100,9,221,160,7,7,1,-,23,21,3,-,-,-,-,-,-,-,-,-
09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,総数,2400,830,5,5,3,-,17,1469,74,4094,1451,17,13,5,-,49,2458,106,5888,2291,22,35,13,-,96,3308,136,7346,3227,43,62,15,-,196,3716,102,7365,3438,67,141,40,-,347,3282,90,5428,2635,63,188,42,-,448,2027,67,2139,1016,33,116,29,-,310,632,32,375,155,10,31,6,-,96,74,9,15,2,-,-,-,-,-,-,13
,男　Ｍ．,1972,678,5,5,3,-,12,1208,64,3130,1112,14,12,5,-,38,1868,86,4141,1663,19,25,8,-,58,2258,118,4568,2161,27,31,9,-,85,2191,73,3889,1944,33,58,12,-,157,1636,61,2387,1193,35,61,16,-,151,921,26,671,323,5,27,5,-,81,228,7,75,44,3,-,-,-,8,19,1,11,1,-,-,-,-,-,-,10
,女　Ｆ．,428,152,-,-,-,-,5,261,10,964,339,3,1,-,-,11,590,20,1747,628,3,10,5,-,38,1050,18,2778,1066,16,31,6,-,111,1525,29,3476,1494,34,83,28,-,190,1646,29,3041,1442,28,127,26,-,297,1106,41,1468,693,28,89,24,-,229,404,25,300,111,7,31,6,-,88,55,8,4,1,-,-,-,-,-,-,3
