令和６年,人口動態統計,,
保管統計表　死因　死亡　第２表　死亡数，死因（死因簡単分類）・性・年齢（５歳階級）・死亡の場所別（65歳以上、不詳）
,,65～69歳,,,,,,,,,70～74歳,,,,,,,,,75～79歳,,,,,,,,,80～84歳,,,,,,,,,85～89歳,,,,,,,,,90～94歳,,,,,,,,,95～99歳,,,,,,,,,100歳以上,,,,,,,,,不詳,,,,,,,,
,,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他,総数,病院,診療所,介護医療院・介護老人保健施設,（再掲）介護医療院,助産所,老人ホーム,自宅,その他
,男　Ｍ．,76,64,3,1,-,-,1,7,-,113,96,1,3,-,-,2,10,1,111,97,1,2,-,-,1,9,1,103,83,-,2,2,-,6,11,1,103,83,-,4,1,-,8,8,-,47,38,-,2,1,-,2,5,-,9,8,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,35,31,-,1,1,-,1,2,-,51,41,-,-,-,-,4,6,-,102,86,-,4,2,-,5,7,-,154,117,4,6,4,-,10,16,1,200,149,3,8,3,-,23,17,-,142,82,3,6,1,-,34,13,4,44,27,-,5,2,-,7,4,1,3,1,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,33,29,-,-,-,-,1,3,-,43,40,-,-,-,-,-,3,-,63,54,-,-,-,-,4,5,-,60,44,1,1,1,-,6,7,1,38,31,-,1,1,-,3,3,-,19,12,-,-,-,-,3,4,-,8,3,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,24,22,-,-,-,-,-,2,-,25,22,-,-,-,-,-,3,-,28,27,-,-,-,-,-,1,-,26,21,-,-,-,-,3,2,-,18,16,-,-,-,-,1,1,-,7,5,-,-,-,-,-,2,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,9,7,-,-,-,-,1,1,-,18,18,-,-,-,-,-,-,-,35,27,-,-,-,-,4,4,-,34,23,1,1,1,-,3,5,1,20,15,-,1,1,-,2,2,-,12,7,-,-,-,-,3,2,-,7,2,-,1,1,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,総数,70,58,3,2,1,-,1,6,-,92,70,1,2,-,-,6,12,1,119,98,1,6,2,-,2,11,1,171,135,2,6,4,-,7,20,1,222,162,2,11,3,-,26,21,-,150,94,3,7,1,-,30,12,4,36,23,-,4,1,-,6,2,1,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,48,38,3,1,-,-,1,5,-,64,51,1,2,-,-,2,7,1,59,46,1,2,-,-,1,8,1,66,52,-,2,2,-,2,9,1,63,47,-,4,1,-,6,6,-,37,31,-,1,-,-,2,3,-,6,5,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,22,20,-,1,1,-,-,1,-,28,19,-,-,-,-,4,5,-,60,52,-,4,2,-,1,3,-,105,83,2,4,2,-,5,11,-,159,115,2,7,2,-,20,15,-,113,63,3,6,1,-,28,9,4,30,18,-,4,1,-,5,2,1,2,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,総数,8,8,-,-,-,-,-,-,-,29,27,-,1,-,-,-,1,-,31,31,-,-,-,-,-,-,-,26,21,1,1,1,-,3,-,-,43,39,1,-,-,-,2,1,-,20,14,-,1,1,-,3,2,-,9,9,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,男　Ｍ．,4,4,-,-,-,-,-,-,-,24,23,-,1,-,-,-,-,-,24,24,-,-,-,-,-,-,-,11,10,-,-,-,-,1,-,-,22,20,-,-,-,-,1,1,-,3,2,-,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,女　Ｆ．,4,4,-,-,-,-,-,-,-,5,4,-,-,-,-,-,1,-,7,7,-,-,-,-,-,-,-,15,11,1,1,1,-,2,-,-,21,19,1,-,-,-,1,-,-,17,12,-,-,-,-,3,2,-,7,7,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,総数,7,5,-,-,-,-,1,1,-,2,1,-,-,-,-,-,1,-,6,3,-,-,-,-,1,2,-,5,1,-,-,-,-,1,3,-,1,1,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
